id,avg_delay,deviation_delay,avg_stop,deviation_stop,max_stop,min_stop
7502,62.774566473988436,292.15037113297535,62.42424242424242,23.998775603907095,300.0,60.0
7764,0.0,0.0,80.0,28.284271247461902,120.0,60.0
7260,0.0,0.0,61.65853658536585,14.623085250680216,300.0,60.0
7160,0.21818181818181817,3.6115517143084253,66.62207357859532,50.0864902216526,1140.0,60.0
7052,0.0,0.0,147.90697674418604,134.69272764911096,600.0,60.0
7982,5.625,23.040385738958452,61.81818181818182,10.285189544531598,120.0,60.0
7607,0.0,0.0,62.52100840336134,18.06703146269135,240.0,60.0
7787,0.0,0.0,64.31372549019608,24.354804008194883,240.0,60.0
7738,0.0,0.0,65.10263929618769,18.532796294371284,180.0,60.0
7068,0.0,0.0,60.0,0.0,60.0,60.0
7333,0.0,0.0,63.98009950248756,23.60705691755109,540.0,60.0
7818,0.0,0.0,60.483870967741936,5.366388632133591,120.0,60.0
7054,33.91304347826087,159.06627359401196,145.11627906976744,162.7720919600114,900.0,60.0
7945,0.0,0.0,65.33333333333333,24.729649321321883,180.0,60.0
7246,0.0,0.0,65.61151079136691,24.184991716687076,360.0,60.0
7066,0.0,0.0,60.0,0.0,60.0,60.0
7245,0.0,0.0,62.170767004341535,12.931067912462238,180.0,60.0
7404,0.27906976744186046,4.082438745579853,68.57142857142857,32.991443953692794,360.0,60.0
7971,0.0,0.0,60.0,0.0,60.0,60.0
7988,0.0,0.0,84.70588235294117,74.36932060837229,360.0,60.0
7570,0.410958904109589,4.94860051183245,60.0,0.0,60.0,60.0
7316,4.545454545454546,55.899851416884395,61.696969696969695,11.315007059505366,180.0,60.0
7727,0.0,0.0,60.0,0.0,60.0,60.0
7458,1.610738255033557,19.595476607672076,61.875,13.564084008881691,180.0,60.0
7529,0.0,0.0,60.46875,5.282544220117802,120.0,60.0
7409,10.625,73.99060328852576,69.62264150943396,66.00349516619936,720.0,60.0
7032,44.3312101910828,241.53773263627005,91.17647058823529,184.01989511818547,1860.0,60.0
7074,0.0,0.0,60.0,0.0,60.0,60.0
7436,0.0,0.0,73.5,59.2262610671989,480.0,60.0
7549,0.0,0.0,61.142857142857146,8.201542911089904,120.0,60.0
7388,0.0,0.0,61.06194690265487,7.911326243761767,120.0,60.0
7229,0.0,0.0,61.54373927958834,11.28232992435851,180.0,60.0
7209,0.0,0.0,62.190669371196755,23.764995354875563,540.0,60.0
7216,0.0,0.0,60.729166666666664,8.984337258374879,240.0,60.0
7483,0.0,0.0,60.0,0.0,60.0,60.0
7383,0.0,0.0,60.98360655737705,7.618983631883436,120.0,60.0
7721,0.0,0.0,60.0,0.0,60.0,60.0
7796,0.0,0.0,63.054545454545455,20.874881105218954,300.0,60.0
7242,0.0,0.0,67.8409090909091,28.95721230761149,300.0,60.0
7411,21.363636363636363,117.73604740904183,66.27450980392157,30.03010152012027,300.0,60.0
7416,0.0,0.0,63.78947368421053,25.840765320604792,300.0,60.0
7517,0.0,0.0,62.65486725663717,14.695595578511178,180.0,60.0
7247,2.7607361963190185,49.76987956928805,62.5077399380805,13.327121564521109,240.0,60.0
7718,0.5128205128205128,5.523245956035388,65.83333333333333,24.81878768639244,240.0,60.0
7603,53.87755102040816,303.22630012563206,73.43283582089552,144.6926979230695,1740.0,60.0
7765,0.0,0.0,60.0,0.0,60.0,60.0
7331,0.0,0.0,62.38754325259516,12.746204422587347,180.0,60.0
7643,0.0,0.0,63.829787234042556,21.689608404041973,240.0,60.0
